,link,description
0,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/List/Index/85/1-account-opening,1. Account opening
1,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/444/85/101-account-opening,1.01 Account opening
2,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/445/85/102-account-fees,1.02 Account fees
3,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/447/85/103-identification,1.03 Identification
4,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/448/85/104-additional-account-opening,1.04 Additional account opening
5,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/1089/85/105-account-closure-paysera-account-deletion,1.05 Account closure. Paysera account deletion. 
6,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/List/Index/87/2-business-account,2. Business account
7,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/457/87/201-corporate-business-account-opening,2.01 Corporate (business) account opening
8,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/459/87/202-i-carry-out-individual-activity-under-a-business-certificate-i-need-a-business-account,2.02 I carry out individual activity under a business certificate. I need a business account
9,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/462/87/203-opening-an-additional-corporate-account,2.03 Opening an additional corporate account
10,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/460/87/204-how-to-grant-permissions-to-another-person-on-the-companys-account,2.04 How to grant permissions to another person on the company’s account?
11,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/461/87/205-permissions-to-manage-an-account-what-is-the-difference-between-additional-access-permissions-and-permissions-and-transfer-limits,2.05 Permissions to manage an account: what is the difference between Additional access permissions and Permissions and transfer limits?
12,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/List/Index/91/3-account-settings,3. Account settings
13,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/1294/91/301-account-login-and-additional-login-confirmation,3.01 Account login and additional login confirmation
14,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/1295/91/302-i-havent-received-the-additional-login-confirmation-code-per-sms,3.02 I haven't received the additional login confirmation code per SMS
15,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/1296/91/303-change-of-account-limits,3.03 Change of account limits
16,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/1297/91/304-enabling-notifications-about-the-flow-of-funds-on-accounts,3.04 Enabling notifications about the flow of funds on accounts
17,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/1298/91/305-receiving-notifications-about-the-flow-of-funds-to-other-email-addresses-or-phone-numbers-than-the-registered-one,3.05 Receiving notifications about the flow of funds to other email addresses or phone numbers than the registered one
18,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/List/Index/130/4-iban-account,4. IBAN account
19,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/1039/130/401-iban-account,4.01. IBAN account
20,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/1040/130/402-usage-of-iban,4.02. Usage of IBAN
21,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/1042/130/403-why-does-paysera-use-iban-account-numbers,4.03. Why does Paysera use IBAN account numbers?
22,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/1043/130/404-benefits-of-using-iban-accounts,4.04. Benefits of using IBAN accounts
23,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/1044/130/405-provision-of-iban-accounts,4.05. Provision of IBAN accounts
24,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/List/Index/96/5-i-have-paid-but-i-have-never-received-the-goods-services,"5. I have paid, but I have never received the goods/ services"
25,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/562/96/501-i-have-paid-for-goodsservices-but-i-have-not-received-them-what-do-i-do,"5.01. I have paid for goods/services, but I have not received them. What do I do?"
26,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/599/96/502-i-have-contacted-the-merchant-but-i-never-received-any-response-whom-do-i-contact-further,"5.02. I have contacted the merchant, but I never received any response. Whom do I contact further?"
27,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/563/96/503-i-have-sent-an-sms-message-but-i-never-received-the-service-what-do-i-do,"5.03. I have sent an SMS message, but I never received the service. What do I do?"
28,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/565/96/504-i-want-to-return-goodsservices-and-get-a-refund-what-do-i-do,5.04. I want to return goods/services and get a refund. What do I do? 
29,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/List/Index/88/6-adding-funds-cash-withdrawal-debt,6. Adding funds. Cash withdrawal. Debt.
30,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/467/88/601-adding-funds,6.01. Adding funds
31,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/468/88/602-how-can-another-person-transfer-money-to-my-account,6.02. How can another person transfer money to my account?
32,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/469/88/603-account-replenishment-times,6.03. Account replenishment times
33,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/470/88/604-additional-fees-charged-for-account-replenishment,6.04. Additional fees charged for account replenishment
34,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/1097/88/605-cash-withdrawal,6.05. Cash withdrawal
35,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/List/Index/89/7-transfers-and-payments,7. Transfers and payments
36,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/472/89/701-i-want-to-perform-a-transfer-from-an-account-in-a-bank-of-a-foreign-country-to-a-lithuanian-bank-account,7.01. I want to perform a transfer from an account in a bank of a foreign country to a Lithuanian bank account
37,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/473/89/702-money-transfers-from-paysera-account,7.02. Money transfers from Paysera account
38,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/474/89/703-executed-transfers,7.03. Executed transfers
39,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/475/89/704-where-can-i-check-the-received-funds,7.04. Where can I check the received funds?
40,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/1374/89/705-how-to-create-a-transfer-template,7.05. How to create a transfer template?
41,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/List/Index/90/8-currency-conversion,8. Currency conversion
42,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/499/90/801-currency-exchange-rates,8.01. Currency exchange rates
43,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/500/90/802-i-am-going-to-exchange-a-big-sum-of-money-will-a-more-favorable-exchange-rate-be-applied,8.02. I am going to exchange a big sum of money. Will a more favorable exchange rate be applied?
44,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/501/90/803-do-i-have-to-convert-currency-before-performing-a-transfer,8.03. Do I have to convert currency before performing a transfer?
45,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/502/90/804-how-can-i-get-a-special-currency-exchange-rate,8.04. How can I get a special currency exchange rate?
46,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/List/Index/113/9-visa-payment-card,9. Visa payment card
47,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/796/113/901-what-is-a-paysera-visa-card,9.01. What is a Paysera Visa card?
48,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/800/113/902-who-can-order-a-visa-payment-card,9.02. Who can order a Visa payment card?
49,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/797/113/903-how-to-order-a-visa-payment-card,9.03. How to order a Visa payment card?
50,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/798/113/904-what-is-the-type-of-visa-payment-card-debit-or-credit,9.04. What is the type of Visa payment card: debit or credit?
51,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/799/113/905-where-will-i-be-able-to-use-my-visa-payment-card,9.05. Where will I be able to use my Visa payment card?
52,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/List/Index/135/10-paysera-tickets-ticketing-system,10. Paysera Tickets ticketing system
53,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/1811/135/1001-how-to-start-using-the-paysera-tickets-ticketing-system,10.01. How to start using the Paysera Tickets ticketing system?
54,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/1812/135/1002-how-to-order-the-service-of-payment-collection-via-the-internet,10.02. How to order the service of payment collection via the Internet?
55,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/1813/135/1003-how-can-i-create-a-payment-collection-project-for-a-paysera-tickets-service,10.03. How can I create a payment collection project for a Paysera Tickets service?
56,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/1814/135/1004-how-to-create-an-event-in-paysera-tickets,10.04. How to create an event in Paysera Tickets?
57,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/1815/135/1005-project-id-and-signature,10.05. Project ID and signature.
58,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/List/Index/92/11-affiliate-program,11. Affiliate program
59,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/515/92/1101-affiliate-program,11.01. Affiliate program
60,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/1100/92/1102-how-to-order-the-affiliate-program,11.02. How to order the Affiliate Program?
61,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/516/92/1103-for-which-services-the-bonus-will-be-paid,11.03. For which services the bonus will be paid?
62,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/517/92/1104-i-did-not-get-a-bonus-money-under-the-affiliate-program,11.04. I did not get a bonus (money) under the Affiliate Program
63,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/List/Index/93/12-payment-collection-projects,12. Payment Collection. Projects
64,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/518/93/1201-how-to-create-a-payment-collection-project,12.01. How to create a payment collection project?
65,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/519/93/1202-website-ownership-confirmation,12.02. Website Ownership Confirmation
66,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/520/93/1203-can-i-use-one-project-for-several-websites,12.03. Can I use one project for several websites?
67,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/521/93/1204-project-description,12.04. Project description
